シリーズ,シーン,URL,曲名,歌
アイカツ!,アニメオープニングテーマ,http://animationsong.com/archives/1583363.html,Signalize!,わか・ふうり・すなお・りすこ from STAR☆ANIS
アイカツ!,アニメオープニングテーマ,http://animationsong.com/archives/1627582.html,ダイヤモンドハッピー,わか・ふうり・すなお from STAR☆ANIS
アイカツ!,アニメオープニングテーマ,http://animationsong.com/archives/1648995.html,KIRA☆Power,わか・ふうり・すなお from STAR☆ANIS
アイカツ!,アニメオープニングテーマ,http://animationsong.com/archives/1681819.html,SHINING LINE*,わか・ふうり・ゆな from STAR☆ANIS
アイカツ!,アニメオープニングテーマ,http://animationsong.com/archives/1726247.html,Du-Du-Wa DO IT!,るか・もな・みき from AIKATSU☆STARS!
アイカツ!,アニメオープニングテーマ,http://animationsong.com/archives/1800107.html,Lovely Party Collection,るか・もな・みき from AIKATSU☆STARS!
アイカツ!,アニメオープニングテーマ,http://animationsong.com/archives/1801074.html,START DASH SENSATION,るか・もな・みき from AIKATSU☆STARS!
アイカツ!,アニメオープニングテーマ,http://animationsong.com/archives/1802708.html,"1,2,Sing for You!",せな・りえ・みき・かな from AIKATSU☆STARS!
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1583832.html,カレンダーガール,わか・ふうり・すなお from STAR☆ANIS
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1627738.html,ヒラリ/ヒトリ/キラリ,わか・ふうり・すなお・れみ・もえ・えり・ゆな・りすこ from STAR☆ANIS
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1680161.html,アリスブルーのキス,Rey
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1648998.html,オリジナルスター☆彡,わか・ふうり・すなお・れみ・もえ・えり・ゆな・りすこ from STAR☆ANIS
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1682695.html,Precious,りすこ・わか・ふうり・もな from STAR☆ANIS
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1726249.html,Good morning my dream,るか・もな・みき from AIKATSU☆STARS!
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1800303.html,チュチュ・バレリーナ,るか・もな・みき from AIKATSU☆STARS!
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1801075.html,lucky train!,るか・もな・みき from AIKATSU☆STARS!
アイカツ!,アニメエンディングテーマ,http://animationsong.com/archives/1802709.html,So Beautiful Story,るか・せな from AIKATSU☆STARS!
アイカツ!,アニメ挿入歌,http://animationsong.com/archives/1603686.html,Move on now!,わか・ふうり・すなお・りすこ from STAR☆ANIS
アイカツ!,アニメ挿入歌,http://animationsong.com/archives/1603688.html,アイドル活動!,わか・ふうり・すなお from STAR☆ANIS
アイカツ!,アニメ挿入歌,http://animationsong.com/archives/1611033.html,prism spiral,ふうり from STAR☆ANIS
アイカツ!,アニメ挿入歌,http://animationsong.com/archives/1603689.html,Angel Snow,れみ from STAR☆ANIS
アイカツ!,アニメ挿入歌,http://animationsong.com/archives/1660733.html,We wish you a merry Christmas AIKATSU Ver.,すなお from STAR☆ANIS
アイカツ!,アニメ挿入歌,http://animationsong.com/archives/1611037.html,Trap of Love,すなお・わか・ふうり from STAR☆ANIS
アイカツ!,アニメ挿入歌,http://animationsong.com/archives/1607359.html,真夜中のスカイハイ,りすこ from STAR☆ANIS
アイカツ!,アニメ挿入歌,http://animationsong.com/archives/1611039.html,Growing for a dream,わか from STAR☆ANIS
